# Freq(Hz) Mag(ohms) Phase(deg)
5.00000000000000e+01 -3.17054319940067e+00 -8.18284977046534e+01
5.09509509509510e+01 -3.33140178942292e+00 -8.19794339928686e+01
5.19019019019019e+01 -3.48938432250094e+00 -8.21249225689989e+01
5.28528528528529e+01 -3.64459012396879e+00 -8.22652517488509e+01
5.38038038038038e+01 -3.79711355131305e+00 -8.24006899494757e+01
5.47547547547548e+01 -3.94704431370633e+00 -8.25314873689768e+01
5.57057057057057e+01 -4.09446776681288e+00 -8.26578774997382e+01
5.66566566566567e+01 -4.23946518506855e+00 -8.27800784939445e+01
5.76076076076076e+01 -4.38211401341989e+00 -8.28982943978744e+01
5.85585585585586e+01 -4.52248810031139e+00 -8.30127162693847e+01
5.95095095095095e+01 -4.66065791353643e+00 -8.31235231912332e+01
6.04604604604605e+01 -4.79669074041111e+00 -8.32308831913482e+01
6.14114114114114e+01 -4.93065087359123e+00 -8.33349540798263e+01
6.23623623623624e+01 -5.06259978372748e+00 -8.34358842112887e+01
6.33133133133133e+01 -5.19259628004197e+00 -8.35338131802185e+01
6.42642642642643e+01 -5.32069665980921e+00 -8.36288724560318e+01
6.52152152152152e+01 -5.44695484763371e+00 -8.37211859638683e+01
6.61661661661662e+01 -5.57142252533606e+00 -8.38108706164219e+01
6.71171171171171e+01 -5.69414925318581e+00 -8.38980368015438e+01
6.80680680680681e+01 -5.81518258315399e+00 -8.39827888298387e+01
6.90190190190190e+01 -5.93456816479892e+00 -8.40652253460189e+01
6.99699699699700e+01 -6.05234984434513e+00 -8.41454397073876e+01
7.09209209209209e+01 -6.16856975746754e+00 -8.42235203324630e+01
7.18718718718719e+01 -6.28326841624845e+00 -8.42995510224529e+01
7.28228228228228e+01 -6.39648479073625e+00 -8.43736112580047e+01
7.37737737737738e+01 -6.50825638549844e+00 -8.44457764734177e+01
7.47247247247247e+01 -6.61861931152882e+00 -8.45161183102839e+01
7.56756756756757e+01 -6.72760835384001e+00 -8.45847048523316e+01
7.66266266266266e+01 -6.83525703504476e+00 -8.46516008430733e+01
7.75775775775776e+01 -6.94159767520551e+00 -8.47168678877053e+01
7.85285285285285e+01 -7.04666144820983e+00 -8.47805646405702e+01
7.94794794794795e+01 -7.15047843490818e+00 -8.48427469793698e+01
8.04304304304304e+01 -7.25307767323301e+00 -8.49034681672055e+01
8.13813813813814e+01 -7.35448720550067e+00 -8.49627790034254e+01
8.23323323323323e+01 -7.45473412308242e+00 -8.50207279641678e+01
8.32832832832833e+01 -7.55384460861687e+00 -8.50773613334113e+01
8.42342342342342e+01 -7.65184397592304e+00 -8.51327233252703e+01
8.51851851851852e+01 -7.74875670776166e+00 -8.51868561982087e+01
8.61361361361361e+01 -7.84460649158128e+00 -8.52398003617877e+01
8.70870870870871e+01 -7.93941625337599e+00 -8.52915944765090e+01
8.80380380380380e+01 -8.03320818977237e+00 -8.53422755472689e+01
8.89889889889890e+01 -8.12600379845475e+00 -8.53918790108940e+01
8.99399399399399e+01 -8.21782390703055e+00 -8.54404388181902e+01
9.08908908908909e+01 -8.30868870042977e+00 -8.54879875109018e+01
9.18418418418418e+01 -8.39861774692662e+00 -8.55345562939447e+01
9.27927927927928e+01 -8.48763002286516e+00 -8.55801751032481e+01
9.37437437437437e+01 -8.57574393616504e+00 -8.56248726695124e+01
9.46946946946947e+01 -8.66297734867843e+00 -8.56686765781678e+01
9.56456456456456e+01 -8.74934759746466e+00 -8.57116133257932e+01
9.65965965965966e+01 -8.83487151504415e+00 -8.57537083732380e+01
9.75475475475475e+01 -8.91956544868980e+00 -8.57949861956675e+01
9.84984984984985e+01 -9.00344527880985e+00 -8.58354703297396e+01
9.94494494494494e+01 -9.08652643647267e+00 -8.58751834180999e+01
1.00400400400400e+02 -9.16882392012102e+00 -8.59141472513739e+01
1.01351351351351e+02 -9.25035231151997e+00 -8.59523828078165e+01
1.02302302302302e+02 -9.33112579098024e+00 -8.59899102907712e+01
1.03253253253253e+02 -9.41115815189571e+00 -8.60267491640776e+01
1.04204204204204e+02 -9.49046281463181e+00 -8.60629181855583e+01
1.05155155155155e+02 -9.56905283979904e+00 -8.60984354387036e+01
1.06106106106106e+02 -9.64694094094387e+00 -8.61333183626681e+01
1.07057057057057e+02 -9.72413949668736e+00 -8.61675837806815e+01
1.08008008008008e+02 -9.80066056233975e+00 -8.62012479269715e+01
1.08958958958959e+02 -9.87651588101815e+00 -8.62343264722874e+01
1.09909909909910e+02 -9.95171689429226e+00 -8.62668345481107e+01
1.10860860860861e+02 -1.00262747523820e+01 -8.62987867696281e+01
1.11811811811812e+02 -1.01002003239291e+01 -8.63301972575425e+01
1.12762762762763e+02 -1.01735042053644e+01 -8.63610796587875e+01
1.13713713713714e+02 -1.02461967298900e+01 -8.63914471662116e+01
1.14664664664665e+02 -1.03182879760954e+01 -8.64213125372891e+01
1.15615615615616e+02 -1.03897877762253e+01 -8.64506881119148e+01
1.16566566566567e+02 -1.04607057241152e+01 -8.64795858293339e+01
1.17517517517518e+02 -1.05310511828122e+01 -8.65080172442551e+01
1.18468468468468e+02 -1.06008332918935e+01 -8.65359935421940e+01
1.19419419419419e+02 -1.06700609744992e+01 -8.65635255540873e+01
1.20370370370370e+02 -1.07387429440904e+01 -8.65906237702197e+01
1.21321321321321e+02 -1.08068877109473e+01 -8.66172983534997e+01
1.22272272272272e+02 -1.08745035884180e+01 -8.66435591521201e+01
1.23223223223223e+02 -1.09415986989295e+01 -8.66694157116357e+01
1.24174174174174e+02 -1.10081809797722e+01 -8.66948772864900e+01
1.25125125125125e+02 -1.10742581886672e+01 -8.67199528510191e+01
1.26076076076076e+02 -1.11398379091265e+01 -8.67446511099608e+01
1.27027027027027e+02 -1.12049275556161e+01 -8.67689805084944e+01
1.27977977977978e+02 -1.12695343785284e+01 -8.67929492418357e+01
1.28928928928929e+02 -1.13336654689751e+01 -8.68165652644096e+01
1.29879879879880e+02 -1.13973277634055e+01 -8.68398362986225e+01
1.30830830830831e+02 -1.14605280480601e+01 -8.68627698432533e+01
1.31781781781782e+02 -1.15232729632648e+01 -8.68853731814846e+01
1.32732732732733e+02 -1.15855690075740e+01 -8.69076533885889e+01
1.33683683683684e+02 -1.16474225417666e+01 -8.69296173392900e+01
1.34634634634635e+02 -1.17088397927043e+01 -8.69512717148132e+01
1.35585585585586e+02 -1.17698268570548e+01 -8.69726230096404e+01
1.36536536536537e+02 -1.18303897048875e+01 -8.69936775379849e+01
1.37487487487487e+02 -1.18905341831458e+01 -8.70144414399983e+01
1.38438438438438e+02 -1.19502660190023e+01 -8.70349206877232e+01
1.39389389389389e+02 -1.20095908230992e+01 -8.70551210908034e+01
1.40340340340340e+02 -1.20685140926821e+01 -8.70750483019630e+01
1.41291291291291e+02 -1.21270412146274e+01 -8.70947078222652e+01
1.42242242242242e+02 -1.21851774683713e+01 -8.71141050061615e+01
1.43193193193193e+02 -1.22429280287414e+01 -8.71332450663404e+01
1.44144144144144e+02 -1.23002979686961e+01 -8.71521330783850e+01
1.45095095095095e+02 -1.23572922619753e+01 -8.71707739852486e+01
1.46046046046046e+02 -1.24139157856656e+01 -8.71891726015558e+01
1.46996996996997e+02 -1.24701733226830e+01 -8.72073336177377e+01
1.47947947947948e+02 -1.25260695641770e+01 -8.72252616040085e+01
1.48898898898899e+02 -1.25816091118583e+01 -8.72429610141898e+01
1.49849849849850e+02 -1.26367964802534e+01 -8.72604361893902e+01
1.50800800800801e+02 -1.26916360988890e+01 -8.72776913615467e+01
1.51751751751752e+02 -1.27461323144077e+01 -8.72947306568330e+01
1.52702702702703e+02 -1.28002893926200e+01 -8.73115580989407e+01
1.53653653653654e+02 -1.28541115204916e+01 -8.73281776122398e+01
1.54604604604605e+02 -1.29076028080709e+01 -8.73445930248232e+01
1.55555555555556e+02 -1.29607672903584e+01 -8.73608080714386e+01
1.56506506506507e+02 -1.30136089291193e+01 -8.73768263963159e+01
1.57457457457457e+02 -1.30661316146416e+01 -8.73926515558908e+01
1.58408408408408e+02 -1.31183391674424e+01 -8.74082870214315e+01
1.59359359359359e+02 -1.31702353399235e+01 -8.74237361815720e+01
1.60310310310310e+02 -1.32218238179780e+01 -8.74390023447547e+01
1.61261261261261e+02 -1.32731082225501e+01 -8.74540887415878e+01
1.62212212212212e+02 -1.33240921111498e+01 -8.74689985271192e+01
1.63163163163163e+02 -1.33747789793230e+01 -8.74837347830320e+01
1.64114114114114e+02 -1.34251722620804e+01 -8.74983005197633e+01
1.65065065065065e+02 -1.34752753352844e+01 -8.75126986785507e+01
1.66016016016016e+02 -1.35250915169974e+01 -8.75269321334076e+01
1.66966966966967e+02 -1.35746240687918e+01 -8.75410036930326e+01
1.67917917917918e+02 -1.36238761970226e+01 -8.75549161026534e+01
1.68868868868869e+02 -1.36728510540653e+01 -8.75686720458083e+01
1.69819819819820e+02 -1.37215517395186e+01 -8.75822741460692e+01
1.70770770770771e+02 -1.37699813013744e+01 -8.75957249687063e+01
1.71721721721722e+02 -1.38181427371550e+01 -8.76090270222975e+01
1.72672672672673e+02 -1.38660389950202e+01 -8.76221827602859e+01
1.73623623623624e+02 -1.39136729748427e+01 -8.76351945824851e+01
1.74574574574575e+02 -1.39610475292562e+01 -8.76480648365360e+01
1.75525525525526e+02 -1.40081654646739e+01 -8.76607958193166e+01
1.76476476476476e+02 -1.40550295422803e+01 -8.76733897783056e+01
1.77427427427427e+02 -1.41016424789965e+01 -8.76858489129033e+01
