 
                                    ALL-ZERO SIGNALS SUMMARY                                     
+-----------------------------------------------------------------------------------------------+
| Signal Type     | Column Index | Removed Signal                                               |
|-----------------+--------------+--------------------------------------------------------------|
| Normal          |      2       | Choke RC Snubber Capacitor Current                           |
| Normal          |      3       | Choke RC Snubber Resistance Current                          |
| Normal          |      4       | Choke RC Snubber Par Res Current                             |
| Normal          |      7       | Freewheeler Blocking Cap Current                             |
| Normal          |      8       | Freewheeler Resistor Current                                 |
| Normal          |      9       | Freewheeler Impedance Cap Current                            |
| Normal          |      13      | HV X-Caps 2 Current                                          |
| Normal          |      16      | Transformer Snubber Cap Current                              |
| Normal          |      17      | Transformer Snubber Res Current                              |
| Normal          |      18      | MOSFET RC Snubber Cap Current                                |
| Normal          |      19      | MOSFET RC Snubber Res Current                                |
| Normal          |      20      | HV Y-Caps Current                                            |
| Normal          |      21      | LV FullBridge Snubber Cap Current                            |
| Normal          |      22      | LV FullBridge Snubber Res Current                            |
| Normal          |      26      | Output Y-Cap Current                                         |
| Normal          |      31      | LV Filter Elko-Cap Current                                   |
| Normal          |      32      | LV Filter Y-Cap Current                                      |
| Normal          |      42      | Freewheeler Switch Current 1                                 |
| Normal          |      43      | Freewheeler Switch Current 2                                 |
| Normal          |      64      | DC Link Current                                              |
| Normal          |      65      | KL30 Current                                                 |
| Normal          |      67      | ENBN Battery Current                                         |
| Normal          |      73      | Load L_B Current                                             |
| Normal          |      74      | CTRL Current                                                 |
| Normal          |      75      | PECU Current                                                 |
| Normal          |      76      | Rbox Current                                                 |
| Normal          |      79      | Choke RC Snubber Capacitor Current RMS                       |
| Normal          |      80      | Choke RC Snubber Resistance Current RMS                      |
| Normal          |      81      | Choke RC Snubber Par Res Current RMS                         |
| Normal          |      84      | Freewheeler Blocking Cap Current RMS                         |
| Normal          |      85      | Freewheeler Resistor Current RMS                             |
| Normal          |      86      | Freewheeler Impedance Cap Current RMS                        |
| Normal          |      90      | HV X-Caps 2 Current RMS                                      |
| Normal          |      93      | Transformer Snubber Cap Current RMS                          |
| Normal          |      94      | Transformer Snubber Res Current RMS                          |
| Normal          |      95      | MOSFET RC Snubber Cap Current RMS                            |
| Normal          |      96      | MOSFET RC Snubber Res Current RMS                            |
| Normal          |      97      | HV Y-Caps Current RMS                                        |
| Normal          |      98      | LV FullBridge Snubber Cap Current RMS                        |
| Normal          |      99      | LV FullBridge Snubber Res Current RMS                        |
| Normal          |     103      | Output Y-Cap Current RMS                                     |
| Normal          |     108      | LV Filter Elko-Cap Current RMS                               |
| Normal          |     109      | LV Filter Y-Cap Current RMS                                  |
| Normal          |     119      | Freewheeler Switch Current 1 RMS                             |
| Normal          |     120      | Freewheeler Switch Current 2 RMS                             |
| Normal          |     141      | DC Link Current RMS                                          |
| Normal          |     142      | KL30 Current RMS                                             |
| Normal          |     144      | ENBN Battery Current RMS                                     |
| Normal          |     150      | Load L_B Current RMS                                         |
| Normal          |     151      | CTRL Current RMS                                             |
| Normal          |     152      | PECU Current RMS                                             |
| Normal          |     153      | Rbox Current RMS                                             |
| Normal          |     161      | Freewheeler Blocking Cap Current AVG                         |
| Normal          |     162      | Freewheeler Resistor Current AVG                             |
| Normal          |     163      | Freewheeler Impedance Cap Current AVG                        |
| Normal          |     167      | HV X-Caps 2 Current AVG                                      |
| Normal          |     170      | Transformer Snubber Cap Current AVG                          |
| Normal          |     171      | Transformer Snubber Res Current AVG                          |
| Normal          |     172      | MOSFET RC Snubber Cap Current AVG                            |
| Normal          |     173      | MOSFET RC Snubber Res Current AVG                            |
| Normal          |     174      | HV Y-Caps Current AVG                                        |
| Normal          |     175      | LV FullBridge Snubber Cap Current AVG                        |
| Normal          |     176      | LV FullBridge Snubber Res Current AVG                        |
| Normal          |     180      | Output Y-Cap Current AVG                                     |
| Normal          |     185      | LV Filter Elko-Cap Current AVG                               |
| Normal          |     186      | LV Filter Y-Cap Current AVG                                  |
| Normal          |     196      | Freewheeler Switch Current 1 AVG                             |
| Normal          |     197      | Freewheeler Switch Current 2 AVG                             |
| Normal          |     218      | DC Link Current AVG                                          |
| Normal          |     219      | KL30 Current AVG                                             |
| Normal          |     221      | ENBN Battery Current AVG                                     |
| Normal          |     227      | Load L_B Current AVG                                         |
| Normal          |     228      | CTRL Current AVG                                             |
| Normal          |     229      | PECU Current AVG                                             |
| Normal          |     230      | Rbox Current AVG                                             |
| Normal          |     231      | CT Trafo Primary Voltage                                     |
| Normal          |     232      | CT Trafo Secondary Voltage                                   |
| Normal          |     233      | Choke RC Snubber Voltage 1                                   |
| Normal          |     234      | Choke RC Snubber Voltage 2                                   |
| Normal          |     235      | Choke RC Snubber Voltage 3                                   |
| Normal          |     238      | Freewheeler Blocking Cap Voltage                             |
| Normal          |     239      | Freewheeler Resistor Voltage                                 |
| Normal          |     240      | Freewheeler Impedance Cap Voltage                            |
| Normal          |     247      | Transformer Snubber Voltage 1                                |
| Normal          |     248      | Transformer Snubber Voltage 2                                |
| Normal          |     249      | MOSFET RC Snubber Voltage 1                                  |
| Normal          |     250      | MOSFET RC Snubber Voltage 2                                  |
| Normal          |     251      | HV Y-Caps Voltage                                            |
| Normal          |     252      | LV FullBridge Snubber Voltage 1                              |
| Normal          |     253      | LV FullBridge Snubber Voltage 2                              |
| Normal          |     263      | LV Filter Y-Cap Voltage                                      |
| Normal          |     273      | Freewheeler Switch Voltage 1                                 |
| Normal          |     274      | Freewheeler Switch Voltage 2                                 |
| Normal          |     285      | Relay Voltage Main                                           |
| Normal          |     286      | Relay Voltage DCDC                                           |
| Normal          |     288      | KL30 Voltage                                                 |
| Normal          |     290      | ENBN Battery Voltage                                         |
